GR-IDENTIFICACAO-UORG;IT-NO-UNIDADE-ORGANIZACIONAL;IT-SG-UNIDADE-ORGANIZACIONAL;IT-SG-UF;GR-CEST-IDENTIFICACAO-UPAG;IT-CO-UORG-VINCULACAO
33200000001223;MTE/AECI;AECI;DF;33200000001094;33200000000001
33200000001212;MTE/AEPIT;AEPIT;DF;33200000001094;33200000000001
33200000001238;MTE/AEPTD;AEPTD;DF;33200000001094;33200000000001
33200000001297;SERVIDORES APOSENTADOS MTE;APOSENT;DF;33200000001094;33200000001094
33200000001227;MTE/APSD;APSD;DF;33200000001094;33200000000001
33200000001531;ART-ANDRELANDIA;ART-ANDREL;MG;33200000001094;33200000000897
33200000001324;AG REGIONAL DO TRAB E EMPR EM IGUABA GR;ARTE/IGUAB;RJ;33200000001094;33200000000471
33200000001323;AG REGIONAL DO TRAB E EMPR EM MARICA;ARTE/MARIC;RJ;33200000001094;33200000000453
33200000000779;MTE/SRTE-MA/.../ARTE-ACAILANDIA;ARTE-ACAIL;MA;33200000001094;33200000000778
33200000000602;MTE/SRTE-PE/.../ARTE-AF DA INGAZEIRA;ARTE-AFDAI;PE;33200000001094;33200000000601
33200000001027;ARTE EM ALAGOINHAS;ARTE-ALAGO;BA;33200000001094;33200000001025
33200000001444;AG REGIONAL DO TRAB E EMPR EM ALAGOINHAS;ARTE-ALAGO;BA;33200000001094;33200000001025
33200000000650;MTE/SRTE-ES/GRTE-CACHOEIRO/ARTE-ALEGRE;ARTE-ALEGR;ES;33200000001094;33200000000647
33200000000860;MTE/SRTE-MG/GRTE-VARGINHA/ARTE-ALFENAS;ARTE-ALFEN;MG;33200000001094;33200000000849
33200000000957;MTE/SRTE-PA/GRTE-SANTAREM/ARTE-ALTAMIRA;ARTE-ALTAM;PA;33200000001094;33200000000954
33200000000336;MTE/SRTE-SP/GRTE-CAMPINAS/ARTE-AMERICANA;ARTE-AMERI;SP;33200000001094;33200000000331
33200000000335;MTE/SRTE-SP/GRTE-CAMPINAS/ARTE-AMPARO;ARTE-AMPAR;SP;33200000001094;33200000000331
33200000000962;MTE/SRTE-PA/ARTE-ANANINDEUA;ARTE-ANANI;PA;33200000001094;33200000000953
33200000000902;ARTE EM ANDRELANDIA;ARTE-ANDRE;MG;33200000001094;33200000000897
33200000000448;MTE/SRTE-RJ/.../ARTE-ANGRA DOS REIS;ARTE-ANGRA;RJ;33200000001094;33200000000446
33200000000084;ARTE EM APARECIDA DE GOIANIA;ARTE-APARE;GO;33200000001094;33200000000081
33200000001681;ARTE-APARECIDA-GOIANIA;ARTE-AP-GO;GO;33200000001094;33200000000081
33200000000743;MTE/SRTE-PR/GRTE-LONDRINA/ARTE-APUCARANA;ARTE-APUCA;PR;33200000001094;33200000000742
33200000000505;MTE/SRTE-CE/ARTE-ARACATI;ARTE-ARACA;CE;33200000001094;33200000000495
33200000000670;MTE/SRTE-ES/GRTE-COLATINA/ARTE-ARACRUZ;ARTE-ARACR;ES;33200000001094;33200000000666
33200000000909;ARTE EM ARACUAI;ARTE-ARACU;MG;33200000001094;33200000000905
33200000001378;AG REGIONAL DO TRAB E EMPR EM ARACUAI;ARTE-ARACU;MG;33200000001094;33200000000905
33200000000048;ARTE EM ARAGUAINA;ARTE-ARAGU;TO;33200000001094;33200000000037
33200000000862;ARTE EM ARAGUARI;ARTE-ARAGU;MG;33200000001094;33200000000861
33200000001439;AG REGIONAL DO TRAB E EMPR EM ARAGUARI;ARTE-ARAGU;MG;33200000001094;33200000000861
33200000000840;MTE/SRTE-AL/ARTE-ARAPIRACA;ARTE-ARAPI;AL;33200000001094;33200000001686
33200000000154;MTE/SRTE-SC/GRTE-CRICIUMA/ARTE-ARARANGUA;ARTE-ARARA;SC;33200000001094;33200000000152
33200000000333;MTE/SRTE-SP/GRTE-CAMPINAS/ARTE-ARARAS;ARTE-ARARA;SP;33200000001094;33200000000331
33200000000622;MTE/SRTE-PE/.../ARTE-ARARIPINA;ARTE-ARARI;PE;33200000001094;33200000000619
33200000000769;MTE/SRTE-PR/ARTE-ARAUCARIA;ARTE-ARAUC;PR;33200000001094;33200000000726
33200000000927;MTE/SRTE-MG/GRTE-UBERABA/ARTE-ARAXA;ARTE-ARAXA;MG;33200000001094;33200000000926
33200000000603;MTE/SRTE-PE/GRTE-CARUARU/ARTE-ARCOVERDE;ARTE-ARCOV;PE;33200000001094;33200000000601
33200000000558;MTE/SRTE-RO/ARTE-ARIQUEMES;ARTE-ARIQU;RO;33200000001094;33200000001555
33200000000472;ARTE EM ARMACAO DOS BUZIOS;ARTE-ARMAC;RJ;33200000001094;33200000000471
33200000000384;MTE/SRTE-SP/GRTE-GUARULHOS/ARTE-ARUJA;ARTE-ARUJA;SP;33200000001094;33200000000381
33200000000356;MTE/SRTE-SP/GRTE-MARILIA/ARTE-ASSIS;ARTE-ASSIS;SP;33200000001094;33200000000354
33200000000380;MTE/SRTE-SP/GRTE-JUNDIAI/ARTE-ATIBAIA;ARTE-ATIBA;SP;33200000001094;33200000000377
33200000000789;ARTE EM BACABAL;ARTE-BACAB;MA;33200000001094;33200000000770
33200000001748;AG REGIONAL DO TRAB E EMPR EM BACABAL;ARTE-BACAB;MA;33200000001094;33200000001709
33200000000488;MTE/SRTE-RJ/ARTE-BANGU;ARTE-BANGU;RJ;33200000001094;33200000000412
33200000000900;MTE/SRTE-MG/.../ARTE-BARBACENA;ARTE-BARBA;MG;33200000001094;33200000000897
33200000000435;MTE/SRTE-RJ/.../ARTE-BARRA DO PIRAI;ARTE-BARDO;RJ;33200000001094;33200000000433
33200000001680;ARTE-BARRA-MANSA;ARTE-BARR-;RJ;33200000001094;33200000000433
33200000000439;ARTE EM BARRA MANSA;ARTE-BARRA;RJ;33200000001094;33200000000433
33200000000805;MTE/SRTE-MT/ARTE-BARRA DO GARCAS;ARTE-BARRA;MT;33200000001094;33200000001554
33200000000586;MTE/SRTE-PE/ARTE-BARREIROS;ARTE-BARRE;PE;33200000001094;33200000000578
33200000001654;ARTE-B-CONSELHO;ARTE-B-CON;PE;33200000001094;33200000000614
33200000001682;ARTE-BOM-DESPACHO;ARTE-B-DES;MG;33200000001094;33200000000933
